	File		Model	T_Energy I_Energy RMSD
CHEMBL220343_01_run_3.log	1	5.674	41.302	0
CHEMBL220343_01_run_20.log	1	5.894	38.684	7.46863
CHEMBL220343_01_run_17.log	1	6.031	38.72	9.77143
CHEMBL220343_01_run_17.log	3	6.968	40.607	9.48759
CHEMBL220343_01_run_1.log	4	7.033	40.168	9.01784
CHEMBL220343_01_run_23.log	4	7.085	41.998	2.12089
CHEMBL220343_01_run_7.log	1	7.703	39.29	2.97211
CHEMBL220343_01_run_2.log	4	7.776	38.605	8.62029
CHEMBL220343_01_run_12.log	4	8.733	37.431	8.324
CHEMBL220343_01_run_2.log	11	10.74	42.213	10.6233
CHEMBL220343_01_run_10.log	7	11.034	43.687	9.20543
CHEMBL220343_01_run_7.log	5	11.204	41.425	3.25068
CHEMBL220343_01_run_23.log	10	11.255	40.38	2.04553
CHEMBL220343_01_run_23.log	11	11.411	39.056	8.8377
CHEMBL220343_01_run_12.log	7	11.551	39.759	7.95505
CHEMBL220343_01_run_13.log	9	11.596	41.127	6.65426
CHEMBL220343_01_run_5.log	6	12.213	38.313	2.30833
CHEMBL220343_01_run_22.log	8	12.23	39.977	6.35812
CHEMBL220343_01_run_5.log	8	12.258	39.908	9.2779
CHEMBL220343_01_run_6.log	5	12.28	40.989	10.185
