	File		Model	T_Energy I_Energy RMSD
CHEMBL576048_run_3.log	1	22.815	60.054	0
CHEMBL576048_run_7.log	1	23.097	61.133	3.42218
CHEMBL576048_run_11.log	4	25.255	60.003	2.07204
CHEMBL576048_run_22.log	3	25.94	61.727	2.52531
CHEMBL576048_run_17.log	3	27.082	60.851	4.65285
CHEMBL576048_run_6.log	1	27.501	60.997	2.68014
CHEMBL576048_run_11.log	5	27.517	64.888	10.1114
CHEMBL576048_run_7.log	9	28.114	62.746	3.23534
CHEMBL576048_run_7.log	11	28.289	59.64	3.4552
CHEMBL576048_run_15.log	5	28.917	59.898	8.769
CHEMBL576048_run_8.log	4	29.056	67.108	9.96112
CHEMBL576048_run_20.log	8	29.301	62.398	3.68286
CHEMBL576048_run_7.log	12	29.394	61.792	4.67163
CHEMBL576048_run_15.log	6	29.553	62.25	6.01921
CHEMBL576048_run_5.log	7	29.799	61.483	3.10288
CHEMBL576048_run_20.log	10	30.012	61.885	5.98721
CHEMBL576048_run_10.log	7	30.454	58.568	2.318
CHEMBL576048_run_20.log	11	30.558	72.124	10.7543
CHEMBL576048_run_14.log	1	31.214	61.54	7.60665
CHEMBL576048_run_21.log	5	31.303	63.008	10.2779
