	File		Model	T_Energy I_Energy RMSD
CHEMBL599428_run_13.log	1	16.767	40.027	0
CHEMBL599428_run_20.log	2	18.281	44.693	11.3169
CHEMBL599428_run_22.log	3	18.295	42.055	9.31522
CHEMBL599428_run_18.log	3	18.783	40.213	10.461
CHEMBL599428_run_12.log	4	18.9	40.087	10.9836
CHEMBL599428_run_18.log	5	19.09	40.201	11.3551
CHEMBL599428_run_11.log	5	19.483	40.401	2.05502
CHEMBL599428_run_6.log	7	20.096	41.75	11.0579
CHEMBL599428_run_15.log	5	20.199	43.13	10.3903
CHEMBL599428_run_20.log	8	20.359	40.232	3.79852
CHEMBL599428_run_24.log	9	20.849	46.848	9.99208
CHEMBL599428_run_20.log	11	21.017	47.925	11.3565
CHEMBL599428_run_2.log	6	21.02	44.543	11.0342
CHEMBL599428_run_16.log	13	21.297	40.57	10.1607
CHEMBL599428_run_11.log	11	21.33	40.969	10.0922
CHEMBL599428_run_23.log	10	21.557	40.375	11.3471
CHEMBL599428_run_24.log	15	21.723	47.144	11.0608
CHEMBL599428_run_4.log	11	21.797	41.394	10.819
CHEMBL599428_run_7.log	13	22.094	42.467	2.13246
CHEMBL599428_run_14.log	12	22.64	47.337	4.12877
