	File		Model	T_Energy I_Energy RMSD
CHEMBL571031_run_15.log	1	28.499	66.93	0
CHEMBL571031_run_14.log	1	31.353	65.986	9.61586
CHEMBL571031_run_19.log	1	31.737	72.221	2.83713
CHEMBL571031_run_21.log	2	32.344	63.86	10.0645
CHEMBL571031_run_15.log	3	32.388	72.563	2.38199
CHEMBL571031_run_24.log	2	32.41	64.294	10.3704
CHEMBL571031_run_22.log	1	32.733	68.805	10.0275
CHEMBL571031_run_16.log	1	33.334	66.408	2.93314
CHEMBL571031_run_14.log	4	33.907	69.939	2.81818
CHEMBL571031_run_16.log	3	33.913	66.615	2.95084
CHEMBL571031_run_10.log	2	34.326	69.875	2.14611
CHEMBL571031_run_7.log	3	35.558	63.466	9.86595
CHEMBL571031_run_15.log	6	35.633	67.088	2.66785
CHEMBL571031_run_18.log	1	35.76	66.52	10.9189
CHEMBL571031_run_5.log	1	36.173	68.159	8.0845
CHEMBL571031_run_15.log	8	36.299	63.258	9.86551
CHEMBL571031_run_12.log	1	36.572	67.742	6.16606
CHEMBL571031_run_14.log	5	36.923	65.564	10.0776
CHEMBL571031_run_9.log	5	37.022	66.029	10.4302
CHEMBL571031_run_23.log	4	37.093	64.678	10.6748
