	File		Model	T_Energy I_Energy RMSD
CHEMBL259551_01_run_1.log	1	38.728	63.505	0
CHEMBL259551_01_run_7.log	2	38.824	64.101	10.9771
CHEMBL259551_01_run_10.log	2	39.689	63.778	2.13913
CHEMBL259551_01_run_15.log	3	40.146	64.749	10.6317
CHEMBL259551_01_run_17.log	3	40.736	64.967	8.53698
CHEMBL259551_01_run_19.log	7	41.098	64.635	10.4469
CHEMBL259551_01_run_11.log	6	41.855	63.904	5.37572
CHEMBL259551_01_run_12.log	6	42.137	67.296	6.84448
CHEMBL259551_01_run_11.log	7	42.184	63.616	6.20447
CHEMBL259551_01_run_4.log	7	42.442	63.785	4.43365
CHEMBL259551_01_run_12.log	9	42.492	67.325	8.15774
CHEMBL259551_01_run_13.log	10	42.767	64.12	9.04105
CHEMBL259551_01_run_3.log	9	42.833	64.744	9.97863
CHEMBL259551_01_run_9.log	9	43.108	64.194	5.3717
CHEMBL259551_01_run_10.log	13	43.167	63.528	9.42441
CHEMBL259551_01_run_3.log	11	43.363	62.953	4.96829
CHEMBL259551_01_run_20.log	14	43.373	63.94	6.47029
CHEMBL259551_01_run_9.log	11	43.413	64.268	5.39911
CHEMBL259551_01_run_10.log	14	43.421	63.201	5.08897
CHEMBL259551_01_run_12.log	13	43.454	64.729	9.74789
