	File		Model	T_Energy I_Energy RMSD
CHEMBL437943_01_run_13.log	1	24.028	54.511	0
CHEMBL437943_01_run_8.log	3	27.87	54.623	8.84318
CHEMBL437943_01_run_8.log	6	29.221	54.855	8.99435
CHEMBL437943_01_run_13.log	6	29.342	54.513	6.18569
CHEMBL437943_01_run_5.log	6	29.435	54.182	2.06145
CHEMBL437943_01_run_9.log	6	30.168	54.069	9.43061
CHEMBL437943_01_run_13.log	9	30.578	54.775	8.72402
CHEMBL437943_01_run_2.log	8	30.8	54.292	8.6724
CHEMBL437943_01_run_7.log	10	31.084	54.578	2.71502
CHEMBL437943_01_run_10.log	10	31.348	54.215	4.4912
CHEMBL437943_01_run_21.log	13	31.851	55.909	9.1156
CHEMBL437943_01_run_7.log	14	32.129	54.359	8.93347
CHEMBL437943_01_run_12.log	13	32.303	54.342	9.28984
CHEMBL437943_01_run_5.log	14	32.422	54.17	6.52223
CHEMBL437943_01_run_13.log	13	32.527	54.332	8.20227
CHEMBL437943_01_run_14.log	12	32.807	54.036	8.62659
CHEMBL437943_01_run_20.log	18	32.978	54.297	10.2021
CHEMBL437943_01_run_2.log	18	33.314	54.163	4.34253
CHEMBL437943_01_run_16.log	13	33.393	55.783	5.04627
CHEMBL437943_01_run_11.log	13	33.418	54.108	6.98758
