	File		Model	T_Energy I_Energy RMSD
CHEMBL571484_run_6.log	1	24.051	60.307	0
CHEMBL571484_run_18.log	1	24.693	63.47	3.18887
CHEMBL571484_run_1.log	1	26.195	66.301	10.1166
CHEMBL571484_run_12.log	2	26.514	65.252	10.1689
CHEMBL571484_run_18.log	4	26.849	62.965	2.38139
CHEMBL571484_run_16.log	5	27.038	59.419	4.54692
CHEMBL571484_run_6.log	4	28.045	62.861	2.13563
CHEMBL571484_run_11.log	6	28.094	68.376	3.47905
CHEMBL571484_run_16.log	7	28.954	60.154	7.37117
CHEMBL571484_run_10.log	3	30.271	62.025	6.6708
CHEMBL571484_run_10.log	4	30.333	71.79	11.0758
CHEMBL571484_run_16.log	13	30.402	60.801	4.74336
CHEMBL571484_run_9.log	4	30.754	59.113	6.53069
CHEMBL571484_run_19.log	3	30.887	60.733	6.82233
CHEMBL571484_run_14.log	5	30.979	67.346	10.2658
CHEMBL571484_run_14.log	6	31.087	67.287	9.75107
CHEMBL571484_run_17.log	4	31.388	63.945	7.95189
CHEMBL571484_run_13.log	2	31.442	61.253	4.59616
CHEMBL571484_run_7.log	8	31.485	61.747	2.43263
CHEMBL571484_run_3.log	7	31.541	65.273	2.48908
