	File		Model	T_Energy I_Energy RMSD
CHEMBL375544_03_run_10.log	1	13.353	56.781	0
CHEMBL375544_03_run_15.log	2	15.089	58.413	2.16715
CHEMBL375544_03_run_22.log	3	19.444	57.248	2.14446
CHEMBL375544_03_run_16.log	3	20.361	60.809	4.96727
CHEMBL375544_03_run_15.log	3	20.833	55.148	2.59085
CHEMBL375544_03_run_15.log	4	21.12	54.48	2.92409
CHEMBL375544_03_run_22.log	4	21.161	58.349	2.02663
CHEMBL375544_03_run_13.log	6	21.261	56.303	9.41898
CHEMBL375544_03_run_20.log	3	22.388	61.981	9.42373
CHEMBL375544_03_run_11.log	3	22.995	56.108	3.58838
CHEMBL375544_03_run_11.log	4	23.447	55.477	4.00998
CHEMBL375544_03_run_7.log	6	23.956	57.16	7.51876
CHEMBL375544_03_run_17.log	1	24.606	59.545	9.83912
CHEMBL375544_03_run_13.log	9	24.855	63.225	4.66539
CHEMBL375544_03_run_18.log	6	24.857	56.879	9.88478
CHEMBL375544_03_run_1.log	3	24.944	60.36	8.90473
CHEMBL375544_03_run_24.log	5	25.016	55.435	8.90887
CHEMBL375544_03_run_10.log	7	25.177	57.863	7.56529
CHEMBL375544_03_run_19.log	7	25.707	54.251	9.92182
CHEMBL375544_03_run_12.log	4	25.831	51.702	6.52788
