	File		Model	T_Energy I_Energy RMSD
CHEMBL571722_run_10.log	1	36.816	73.163	0
CHEMBL571722_run_4.log	1	38.606	78.925	10.2858
CHEMBL571722_run_19.log	3	39.014	78.628	2.79434
CHEMBL571722_run_4.log	2	39.711	80.501	10.3751
CHEMBL571722_run_13.log	1	42.668	85.06	11.3533
CHEMBL571722_run_18.log	3	42.95	83.602	9.4533
CHEMBL571722_run_10.log	6	43.806	74.427	7.17029
CHEMBL571722_run_24.log	6	44.155	78.422	10.334
CHEMBL571722_run_24.log	7	44.337	76.662	10.4452
CHEMBL571722_run_7.log	1	44.361	76.504	7.1978
CHEMBL571722_run_24.log	8	44.398	76.529	9.54865
CHEMBL571722_run_6.log	3	44.754	73.634	4.73134
CHEMBL571722_run_11.log	3	44.858	81.274	10.7776
CHEMBL571722_run_6.log	4	44.903	74.763	2.79508
CHEMBL571722_run_11.log	4	45.252	81.917	9.93312
CHEMBL571722_run_21.log	10	45.395	78.645	7.82261
CHEMBL571722_run_13.log	6	45.61	88.764	11.1948
CHEMBL571722_run_10.log	10	45.908	75.012	9.69782
CHEMBL571722_run_23.log	3	45.96	75.773	5.8329
CHEMBL571722_run_21.log	12	46.38	79.498	7.03519
