	File		Model	T_Energy I_Energy RMSD
CHEMBL576683_run_17.log	1	20.339	57.526	0
CHEMBL576683_run_17.log	3	23.434	62.665	2.78153
CHEMBL576683_run_7.log	1	23.809	63.937	10.1298
CHEMBL576683_run_7.log	2	24.55	63.758	10.1458
CHEMBL576683_run_20.log	2	24.617	57.116	4.57484
CHEMBL576683_run_6.log	3	26.451	60.525	6.57854
CHEMBL576683_run_24.log	1	26.979	69.199	11.0732
CHEMBL576683_run_6.log	4	27.054	60.694	3.89694
CHEMBL576683_run_4.log	5	27.472	61.119	7.37889
CHEMBL576683_run_10.log	1	27.526	64.498	10.9176
CHEMBL576683_run_5.log	3	28.156	57.589	6.59236
CHEMBL576683_run_1.log	3	28.18	58.28	6.85089
CHEMBL576683_run_4.log	6	28.403	61.139	4.34308
CHEMBL576683_run_10.log	2	28.411	63.743	11.166
CHEMBL576683_run_23.log	1	28.799	65.987	10.3533
CHEMBL576683_run_10.log	4	28.837	57.848	4.62822
CHEMBL576683_run_17.log	7	28.855	66.1	3.62426
CHEMBL576683_run_8.log	6	28.882	62.376	10.8284
CHEMBL576683_run_19.log	5	28.887	65.631	10.8406
CHEMBL576683_run_23.log	2	28.904	65.145	9.8155
