	File		Model	T_Energy I_Energy RMSD
CHEMBL220897_03_run_23.log	1	9.202	51.961	0
CHEMBL220897_03_run_23.log	3	10.055	51.739	2.16016
CHEMBL220897_03_run_20.log	1	13.389	53.336	9.82081
CHEMBL220897_03_run_17.log	4	14.615	55.507	9.65526
CHEMBL220897_03_run_15.log	4	18.641	55.19	9.71947
CHEMBL220897_03_run_22.log	7	19.879	57.037	7.46708
CHEMBL220897_03_run_18.log	9	20.035	55.623	3.09161
CHEMBL220897_03_run_17.log	7	20.348	59.163	7.69789
CHEMBL220897_03_run_17.log	9	20.386	54.195	10.5806
CHEMBL220897_03_run_23.log	8	20.879	55.614	3.6234
CHEMBL220897_03_run_19.log	5	20.894	55.465	3.0092
CHEMBL220897_03_run_1.log	5	21.65	55.028	5.92825
CHEMBL220897_03_run_7.log	2	21.787	55.784	10.4276
CHEMBL220897_03_run_2.log	8	22.399	48.541	7.14724
CHEMBL220897_03_run_10.log	5	22.566	54.99	5.9307
CHEMBL220897_03_run_1.log	7	22.882	55.863	9.21937
CHEMBL220897_03_run_22.log	9	23.05	54.659	9.64991
CHEMBL220897_03_run_2.log	10	23.089	52.761	9.5963
CHEMBL220897_03_run_16.log	9	23.308	49.594	9.11014
CHEMBL220897_03_run_5.log	9	23.357	52.061	11.3872
