	File		Model	T_Energy I_Energy RMSD
CHEMBL220054_03_run_6.log	1	13.18	55.179	0
CHEMBL220054_03_run_6.log	4	14.369	55.578	2.1139
CHEMBL220054_03_run_11.log	1	15.53	57.803	9.65742
CHEMBL220054_02_run_19.log	1	17.054	55.474	9.14304
CHEMBL220054_03_run_24.log	3	18.692	58.192	9.75215
CHEMBL220054_02_run_8.log	4	20.621	57.44	9.87683
CHEMBL220054_03_run_21.log	3	21.162	57.004	2.90343
CHEMBL220054_03_run_21.log	4	21.91	62.621	7.58954
CHEMBL220054_02_run_21.log	1	21.961	66.717	2.5521
CHEMBL220054_02_run_12.log	2	22.022	57.68	10.0161
CHEMBL220054_03_run_17.log	4	22.754	56.052	10.5537
CHEMBL220054_01_run_10.log	1	23.082	59.702	4.41218
CHEMBL220054_run_11.log	1	23.157	53.852	11.0908
CHEMBL220054_run_23.log	1	23.467	61.644	9.05448
CHEMBL220054_run_24.log	1	23.483	54.741	4.50706
CHEMBL220054_01_run_17.log	1	23.59	57.25	9.89489
CHEMBL220054_03_run_4.log	5	24.253	56.098	5.25026
CHEMBL220054_03_run_17.log	6	24.517	62.896	7.60886
CHEMBL220054_01_run_1.log	1	24.522	56.18	3.45894
CHEMBL220054_03_run_20.log	3	24.557	57.647	5.89301
