	File		Model	T_Energy I_Energy RMSD
CHEMBL220054_01_run_10.log	1	23.082	59.702	0
CHEMBL220054_01_run_17.log	1	23.59	57.25	8.97426
CHEMBL220054_01_run_1.log	1	24.522	56.18	2.53057
CHEMBL220054_01_run_22.log	1	24.734	52.939	3.22318
CHEMBL220054_01_run_23.log	2	24.825	55.023	9.93373
CHEMBL220054_01_run_18.log	1	25.067	62.909	8.50217
CHEMBL220054_01_run_18.log	4	26.376	57.739	10.6429
CHEMBL220054_01_run_14.log	4	26.701	55.085	10.283
CHEMBL220054_01_run_19.log	8	26.712	56.202	8.74687
CHEMBL220054_01_run_16.log	9	26.84	53.269	3.87896
CHEMBL220054_01_run_11.log	1	26.907	57.657	4.08919
CHEMBL220054_01_run_4.log	12	27.278	64.851	8.39024
CHEMBL220054_01_run_11.log	2	27.489	54.625	9.35195
CHEMBL220054_01_run_2.log	13	27.514	58.317	10.5505
CHEMBL220054_01_run_16.log	13	27.81	52.598	9.72198
CHEMBL220054_01_run_16.log	14	27.815	55.07	9.25554
CHEMBL220054_01_run_22.log	15	27.871	56.761	10.0497
CHEMBL220054_01_run_10.log	9	27.927	56.016	3.70318
CHEMBL220054_01_run_22.log	16	28.03	59.836	9.51995
CHEMBL220054_01_run_17.log	8	28.584	59.319	8.4197
