	File		Model	T_Energy I_Energy RMSD
CHEMBL380946_01_run_1.log	1	-10.078	25.123	0
CHEMBL380946_01_run_9.log	2	-10.059	24.686	5.5102
CHEMBL380946_01_run_21.log	3	-9.291	25.2	3.29929
CHEMBL380946_01_run_20.log	3	-7.992	25.514	2.38789
CHEMBL380946_01_run_1.log	3	-7.756	25.047	2.22452
CHEMBL380946_01_run_10.log	6	-7.457	25.247	2.65068
CHEMBL380946_01_run_2.log	9	-5.894	25.967	5.82491
CHEMBL380946_01_run_9.log	10	-5.783	25.334	2.20437
CHEMBL380946_01_run_24.log	11	-5.138	22.908	6.70469
CHEMBL380946_01_run_4.log	9	-4.593	25.723	3.57254
CHEMBL380946_01_run_4.log	10	-4.351	29.675	7.84219
CHEMBL380946_01_run_19.log	16	-4.237	25.013	6.17259
CHEMBL380946_01_run_18.log	11	-4.128	27.816	11.9782
CHEMBL380946_01_run_17.log	13	-4.059	23.923	6.71615
CHEMBL380946_01_run_9.log	15	-3.727	27.134	2.19281
CHEMBL380946_01_run_2.log	16	-3.349	24.983	4.10525
CHEMBL380946_01_run_16.log	15	-3.135	27.353	2.47736
CHEMBL380946_01_run_23.log	13	-3.085	24.599	7.80167
CHEMBL380946_01_run_21.log	14	-3.053	25.566	4.97925
CHEMBL380946_01_run_1.log	13	-2.676	24.834	4.75193
