	File		Model	T_Energy I_Energy RMSD
CHEMBL569181_run_18.log	1	45.586	83.547	0
CHEMBL569181_run_6.log	1	49.227	90.689	10.5067
CHEMBL569181_run_9.log	1	49.393	87.5	2.86724
CHEMBL569181_run_6.log	3	50.991	86.443	3.92833
CHEMBL569181_run_11.log	1	52.809	92.776	9.41205
CHEMBL569181_run_6.log	4	53.593	92.602	10.3845
CHEMBL569181_run_14.log	3	53.688	91.861	10.2774
CHEMBL569181_run_23.log	3	53.823	83.893	2.83626
CHEMBL569181_run_15.log	1	54.1	87.666	3.64704
CHEMBL569181_run_21.log	1	54.149	96.291	11.419
CHEMBL569181_run_24.log	2	54.154	85.076	2.76743
CHEMBL569181_run_11.log	4	54.232	84.154	4.51577
CHEMBL569181_run_2.log	1	54.352	89.111	9.94471
CHEMBL569181_run_21.log	3	54.391	95.539	10.461
CHEMBL569181_run_8.log	1	54.677	92.921	11.2242
CHEMBL569181_run_9.log	8	55.087	83.031	8.03416
CHEMBL569181_run_20.log	7	55.09	87.656	2.04006
CHEMBL569181_run_7.log	4	56.337	84.735	7.59942
CHEMBL569181_run_13.log	12	56.495	97.947	3.17875
CHEMBL569181_run_17.log	7	56.584	86.08	9.78247
