	File		Model	T_Energy I_Energy RMSD
CHEMBL219849_03_run_17.log	1	12.012	52.47	0
CHEMBL219849_03_run_12.log	1	13.052	54.606	9.60286
CHEMBL219849_03_run_17.log	4	13.205	52.275	2.07573
CHEMBL219849_02_run_18.log	1	16.102	52.771	9.10668
CHEMBL219849_03_run_18.log	3	16.416	58.267	9.56988
CHEMBL219849_02_run_6.log	1	18.34	56.136	9.78875
CHEMBL219849_01_run_16.log	1	18.545	59.944	8.99871
CHEMBL219849_02_run_21.log	5	18.558	55.15	9.94908
CHEMBL219849_02_run_20.log	6	18.96	52.94	9.2246
CHEMBL219849_03_run_14.log	2	19.059	53.859	10.2187
CHEMBL219849_03_run_6.log	4	19.367	54.636	3.24726
CHEMBL219849_run_5.log	1	20.138	58.25	9.04785
CHEMBL219849_03_run_17.log	5	20.212	55.798	2.56535
CHEMBL219849_03_run_2.log	4	20.457	59.071	7.75016
CHEMBL219849_01_run_14.log	1	20.517	54.693	9.5499
CHEMBL219849_01_run_11.log	4	20.726	59.955	9.08423
CHEMBL219849_run_11.log	1	20.815	51.098	10.997
CHEMBL219849_run_6.log	1	20.833	51.851	4.52123
CHEMBL219849_03_run_9.log	3	21.274	53.962	9.62303
CHEMBL219849_03_run_18.log	4	21.44	53.131	10.9897
