	File		Model	T_Energy I_Energy RMSD
CHEMBL568483_run_21.log	1	27.609	68.043	0
CHEMBL568483_run_13.log	1	27.961	64.452	10.0008
CHEMBL568483_run_20.log	1	29.363	69.24	4.30943
CHEMBL568483_run_13.log	3	30.135	68.265	9.8911
CHEMBL568483_run_21.log	4	30.245	70.126	2.32029
CHEMBL568483_run_2.log	3	31.711	71.164	3.04642
CHEMBL568483_run_21.log	6	32.73	64.416	10.0132
CHEMBL568483_run_13.log	5	32.903	65.232	10.4174
CHEMBL568483_run_21.log	7	33.324	68.367	3.14706
CHEMBL568483_run_20.log	3	33.46	69.739	2.81188
CHEMBL568483_run_12.log	3	34.027	69.45	2.28838
CHEMBL568483_run_7.log	5	34.14	64.838	9.69801
CHEMBL568483_run_21.log	8	34.622	66.789	10.108
CHEMBL568483_run_9.log	2	35.004	65.618	10.2478
CHEMBL568483_run_11.log	2	35.411	67.022	5.83411
CHEMBL568483_run_6.log	5	35.806	73.335	4.24508
CHEMBL568483_run_3.log	1	35.994	65.679	10.0513
CHEMBL568483_run_19.log	7	36.155	64.469	5.97079
CHEMBL568483_run_11.log	5	36.493	70.92	5.58555
CHEMBL568483_run_9.log	4	36.607	64.243	10.4442
