	File		Model	T_Energy I_Energy RMSD
CHEMBL571056_run_19.log	1	29.475	71.618	0
CHEMBL571056_run_19.log	3	33.343	66.198	10.1589
CHEMBL571056_run_6.log	2	35.015	73.452	10.0508
CHEMBL571056_run_24.log	1	35.05	75.843	3.09646
CHEMBL571056_run_11.log	3	35.52	69.904	3.1735
CHEMBL571056_run_11.log	5	37.36	67.485	9.96262
CHEMBL571056_run_4.log	3	37.79	74.487	2.7353
CHEMBL571056_run_6.log	6	38.097	73.338	2.13916
CHEMBL571056_run_19.log	10	38.227	77.63	4.63149
CHEMBL571056_run_14.log	8	38.256	68.02	10.3894
CHEMBL571056_run_22.log	2	38.907	69.059	10.0013
CHEMBL571056_run_18.log	5	39.232	72.157	3.33507
CHEMBL571056_run_10.log	8	39.328	66.233	9.84546
CHEMBL571056_run_21.log	5	39.463	68.915	9.1282
CHEMBL571056_run_12.log	4	39.559	71.156	11.7115
CHEMBL571056_run_11.log	9	39.585	71.143	2.61823
CHEMBL571056_run_9.log	3	40.047	73.142	3.87308
CHEMBL571056_run_6.log	12	40.363	75.183	10.4974
CHEMBL571056_run_18.log	8	40.433	68.007	10.4321
CHEMBL571056_run_6.log	13	40.534	76.105	2.93882
