	File		Model	T_Energy I_Energy RMSD
CHEMBL572157_run_11.log	1	34.398	76.612	0
CHEMBL572157_run_9.log	1	38.026	71.951	10.1224
CHEMBL572157_run_22.log	1	38.656	76.521	10.2736
CHEMBL572157_run_10.log	1	38.724	73.17	3.60107
CHEMBL572157_run_24.log	1	38.886	75.406	2.87601
CHEMBL572157_run_2.log	3	39.969	77.527	2.10478
CHEMBL572157_run_15.log	3	40.63	81.244	2.85108
CHEMBL572157_run_2.log	4	40.867	69.942	10.2108
CHEMBL572157_run_21.log	1	40.902	72.202	11.3112
CHEMBL572157_run_24.log	5	41.037	72.766	10.0669
CHEMBL572157_run_6.log	3	41.123	73.074	6.18087
CHEMBL572157_run_21.log	3	41.171	78.493	2.90797
CHEMBL572157_run_19.log	1	41.471	76.987	5.87575
CHEMBL572157_run_10.log	7	41.988	75.42	4.00204
CHEMBL572157_run_18.log	3	41.991	72.226	10.4407
CHEMBL572157_run_7.log	4	42.241	71.705	6.25427
CHEMBL572157_run_9.log	5	42.708	71.902	10.4912
CHEMBL572157_run_20.log	3	42.801	78.937	2.42761
CHEMBL572157_run_1.log	10	42.904	72.632	8.96162
CHEMBL572157_run_15.log	5	43.113	78.695	2.59359
