	File		Model	T_Energy I_Energy RMSD
CHEMBL373628_run_15.log	1	17.186	46.571	0
CHEMBL373628_run_18.log	1	17.978	46.41	8.88792
CHEMBL373628_run_7.log	3	18.826	46.798	8.89611
CHEMBL373628_run_10.log	2	18.895	47.205	2.18988
CHEMBL373628_01_run_12.log	1	19.529	48.063	8.06898
CHEMBL373628_run_17.log	3	20.829	47.947	9.88937
CHEMBL373628_01_run_5.log	4	21.37	52.88	9.40494
CHEMBL373628_01_run_6.log	1	21.767	45.713	9.57712
CHEMBL373628_run_1.log	5	21.951	50.561	9.46603
CHEMBL373628_run_16.log	9	21.976	47.849	9.88881
CHEMBL373628_01_run_8.log	1	22.339	44.992	9.59177
CHEMBL373628_run_19.log	5	22.614	44.096	9.45869
CHEMBL373628_run_19.log	6	22.717	48.877	2.67384
CHEMBL373628_01_run_17.log	4	22.822	50.378	3.42095
CHEMBL373628_01_run_14.log	5	23.021	50.064	8.27941
CHEMBL373628_run_11.log	6	23.26	44.57	8.80305
CHEMBL373628_run_17.log	7	23.53	51.992	9.47141
CHEMBL373628_01_run_2.log	5	23.559	44.972	9.74864
CHEMBL373628_run_1.log	8	23.634	44.545	8.15865
CHEMBL373628_01_run_12.log	4	23.659	48.762	8.97605
