	File		Model	T_Energy I_Energy RMSD
CHEMBL222465_03_run_15.log	1	21.474	64.414	0
CHEMBL222465_03_run_13.log	1	21.653	65.901	9.66376
CHEMBL222465_03_run_15.log	3	22.432	64.163	2.0643
CHEMBL222465_03_run_1.log	3	23.396	66.962	9.72317
CHEMBL222465_03_run_12.log	5	29.798	63.976	10.8065
CHEMBL222465_03_run_11.log	4	29.917	65.555	3.19171
CHEMBL222465_03_run_16.log	1	30.256	67.783	2.38404
CHEMBL222465_03_run_19.log	5	30.625	68.802	7.90076
CHEMBL222465_03_run_4.log	5	31.262	66.905	10.4222
CHEMBL222465_03_run_17.log	6	32.056	66.675	9.76822
CHEMBL222465_03_run_21.log	3	32.749	68.304	3.52682
CHEMBL222465_03_run_16.log	4	33.103	64.522	3.27555
CHEMBL222465_03_run_12.log	8	33.327	70.45	7.88762
CHEMBL222465_03_run_13.log	4	33.391	64.709	11.2659
CHEMBL222465_03_run_20.log	3	33.569	65.861	5.93044
CHEMBL222465_03_run_18.log	5	33.647	62.661	3.18567
CHEMBL222465_03_run_11.log	8	33.679	65.127	3.33125
CHEMBL222465_03_run_17.log	9	34.25	65.445	2.43255
CHEMBL222465_03_run_12.log	9	34.277	59.991	10.5638
CHEMBL222465_03_run_13.log	5	34.315	63.206	11.3891
