	File		Model	T_Energy I_Energy RMSD
CHEMBL220272_run_14.log	1	20.449	59.113	0
CHEMBL220272_01_run_1.log	1	21	56.988	11.832
CHEMBL220272_run_13.log	1	21.314	58.472	9.49569
CHEMBL220272_01_run_22.log	1	21.664	55.422	9.67814
CHEMBL220272_01_run_19.log	2	21.799	56.05	9.90182
CHEMBL220272_01_run_1.log	3	21.873	56.507	12.0094
CHEMBL220272_run_14.log	4	23.452	60.22	2.51231
CHEMBL220272_run_9.log	2	23.594	58.14	6.52649
CHEMBL220272_01_run_3.log	2	23.692	56.832	6.58105
CHEMBL220272_run_11.log	2	23.948	61.564	8.55499
CHEMBL220272_01_run_5.log	4	24.115	59.546	12.3789
CHEMBL220272_run_10.log	3	24.414	59.138	8.85258
CHEMBL220272_run_4.log	2	24.608	57.9	9.65184
CHEMBL220272_01_run_1.log	7	24.862	57.45	11.252
CHEMBL220272_run_14.log	5	24.993	60.628	2.6218
CHEMBL220272_run_2.log	1	25.012	56.802	7.4894
CHEMBL220272_run_9.log	6	25.237	59.914	9.34042
CHEMBL220272_01_run_3.log	6	25.74	58.205	11.3939
CHEMBL220272_run_2.log	2	25.833	56.783	7.20085
CHEMBL220272_run_13.log	6	25.851	59.302	9.07811
