	File		Model	T_Energy I_Energy RMSD
CHEMBL219683_01_run_4.log	1	-1.896	31.301	0
CHEMBL219683_01_run_9.log	1	1.087	31.096	9.45857
CHEMBL219683_01_run_24.log	1	1.645	31.736	4.63019
CHEMBL219683_01_run_14.log	2	1.788	31.368	13.385
CHEMBL219683_01_run_7.log	1	2.025	30.21	5.89971
CHEMBL219683_01_run_22.log	2	2.707	33.889	5.95529
CHEMBL219683_01_run_17.log	3	2.94	30.733	2.35146
CHEMBL219683_01_run_15.log	3	3.199	32.282	9.34662
CHEMBL219683_01_run_17.log	5	3.987	31.872	6.67213
CHEMBL219683_01_run_24.log	4	3.999	30.17	9.45298
CHEMBL219683_01_run_9.log	4	4.219	29.082	4.54618
CHEMBL219683_01_run_9.log	5	4.236	33.354	2.74854
CHEMBL219683_01_run_15.log	9	4.658	33.482	4.9938
CHEMBL219683_01_run_2.log	8	4.856	32.286	9.39224
CHEMBL219683_01_run_11.log	4	5.41	32.255	5.12573
CHEMBL219683_01_run_21.log	7	5.968	29.728	10.2036
CHEMBL219683_01_run_17.log	8	6.029	31.421	4.63075
CHEMBL219683_01_run_23.log	9	6.223	31.453	3.59444
CHEMBL219683_01_run_23.log	13	6.61	29.857	9.54055
CHEMBL219683_01_run_8.log	7	6.791	31.774	9.40866
