	File		Model	T_Energy I_Energy RMSD
CHEMBL571038_run_14.log	1	27.739	65.535	0
CHEMBL571038_run_3.log	1	29.474	63.52	10.128
CHEMBL571038_run_19.log	1	29.695	68.37	9.79882
CHEMBL571038_run_14.log	2	30.302	65.147	3.76166
CHEMBL571038_run_4.log	1	30.679	63.733	9.37269
CHEMBL571038_run_21.log	1	32.365	64.597	10.4966
CHEMBL571038_run_6.log	4	32.83	68.151	10.8722
CHEMBL571038_run_2.log	5	33.419	68.79	4.25184
CHEMBL571038_run_12.log	7	34.225	71.309	2.44555
CHEMBL571038_run_1.log	5	35.185	63.169	9.19209
CHEMBL571038_run_16.log	2	35.323	75.218	4.62773
CHEMBL571038_run_15.log	7	35.453	68.364	9.78525
CHEMBL571038_run_4.log	8	36.005	68.187	8.19176
CHEMBL571038_run_9.log	4	36.053	63.419	10.8521
CHEMBL571038_run_3.log	4	36.064	73.096	4.71517
CHEMBL571038_run_2.log	10	36.151	63.752	9.88202
CHEMBL571038_run_18.log	3	36.389	65.817	3.02942
CHEMBL571038_run_3.log	5	36.468	64.836	9.84662
CHEMBL571038_run_11.log	4	36.632	64.451	6.82143
CHEMBL571038_run_8.log	10	36.687	64.311	10.134
