	File		Model	T_Energy I_Energy RMSD
CHEMBL572361_run_9.log	1	30.708	68.161	0
CHEMBL572361_run_3.log	1	34.951	67.417	10.0971
CHEMBL572361_run_5.log	1	36.071	70.837	10.175
CHEMBL572361_run_4.log	2	36.531	68.257	2.43402
CHEMBL572361_run_15.log	1	36.534	74.858	3.04828
CHEMBL572361_run_9.log	3	36.611	72.54	2.42194
CHEMBL572361_run_6.log	1	37.237	67.305	9.80105
CHEMBL572361_run_4.log	3	38.033	72.033	2.90114
CHEMBL572361_run_10.log	2	38.381	67.898	10.8919
CHEMBL572361_run_5.log	3	38.441	73.237	9.63742
CHEMBL572361_run_19.log	2	38.672	66.757	9.92556
CHEMBL572361_run_19.log	3	38.721	69.309	3.34412
CHEMBL572361_run_1.log	3	39.451	75.64	2.33596
CHEMBL572361_run_20.log	3	39.536	68.081	10.3199
CHEMBL572361_run_17.log	4	39.844	73.657	10.5769
CHEMBL572361_run_9.log	5	40.033	72.062	3.41211
CHEMBL572361_run_6.log	4	40.102	69.732	5.44185
CHEMBL572361_run_15.log	3	40.665	75.344	2.81957
CHEMBL572361_run_14.log	5	40.789	71.321	9.14025
CHEMBL572361_run_10.log	6	41.011	67.707	9.70243
