	File		Model	T_Energy I_Energy RMSD
CHEMBL220320_01_run_12.log	1	7.473	41.383	0
CHEMBL220320_01_run_3.log	1	7.753	41.026	9.45155
CHEMBL220320_01_run_19.log	1	8.627	40.142	2.55241
CHEMBL220320_01_run_9.log	2	8.628	43.805	2.17694
CHEMBL220320_01_run_13.log	3	9.855	40.335	8.95632
CHEMBL220320_01_run_22.log	1	10.317	38.821	9.17009
CHEMBL220320_01_run_13.log	4	10.433	39.332	9.25915
CHEMBL220320_01_run_19.log	3	10.737	42.165	3.01525
CHEMBL220320_01_run_15.log	3	10.952	40.62	2.09807
CHEMBL220320_01_run_24.log	4	12.194	40.044	6.79183
CHEMBL220320_01_run_22.log	3	12.284	41.878	7.4451
CHEMBL220320_01_run_22.log	4	12.493	41.796	7.33367
CHEMBL220320_01_run_13.log	7	12.518	38.9	8.38699
CHEMBL220320_01_run_20.log	6	12.72	44.856	9.15592
CHEMBL220320_01_run_23.log	4	12.728	41.506	2.08246
CHEMBL220320_01_run_12.log	4	13.363	42.44	9.41799
CHEMBL220320_01_run_22.log	6	13.683	38.11	8.18111
CHEMBL220320_01_run_12.log	5	13.722	40.261	9.35046
CHEMBL220320_01_run_17.log	9	13.744	39.196	6.31481
CHEMBL220320_01_run_10.log	5	13.844	41.875	10.0752
