	File		Model	T_Energy I_Energy RMSD
CHEMBL572162_run_23.log	1	27.918	63.036	0
CHEMBL572162_run_9.log	1	28.606	62.731	9.51799
CHEMBL572162_run_14.log	1	29.012	65.518	4.25503
CHEMBL572162_run_10.log	1	29.224	63.336	9.96131
CHEMBL572162_run_23.log	4	29.514	63.576	3.74442
CHEMBL572162_run_12.log	2	29.768	63.248	9.30933
CHEMBL572162_run_8.log	1	31.156	64.75	10.2243
CHEMBL572162_run_6.log	2	31.22	64.178	10.0483
CHEMBL572162_run_11.log	2	31.34	70.452	4.59613
CHEMBL572162_run_15.log	5	31.605	63.171	9.15584
CHEMBL572162_run_17.log	4	32.091	65.332	2.0402
CHEMBL572162_run_20.log	4	32.41	65.494	10.8534
CHEMBL572162_run_12.log	5	32.532	60.979	10.5159
CHEMBL572162_run_15.log	6	32.631	63.163	10.2082
CHEMBL572162_run_7.log	2	32.952	68.816	2.68007
CHEMBL572162_run_11.log	5	33.343	64.38	5.62772
CHEMBL572162_run_1.log	6	33.392	61.129	8.96729
CHEMBL572162_run_10.log	3	33.51	62.232	10.8823
CHEMBL572162_run_5.log	3	33.625	67.208	4.31208
CHEMBL572162_run_11.log	7	33.945	62.131	7.97567
