	File		Model	T_Energy I_Energy RMSD
CHEMBL220110_01_run_1.log	1	5.476	35.725	0
CHEMBL220110_run_2.log	1	8.799	36.089	4.72083
CHEMBL220110_01_run_5.log	1	9.017	36.887	4.07332
CHEMBL220110_01_run_3.log	1	9.13	34.548	4.69335
CHEMBL220110_01_run_2.log	2	9.266	39.223	3.54102
CHEMBL220110_01_run_18.log	2	9.854	34.829	8.17742
CHEMBL220110_01_run_16.log	3	9.942	36.028	5.10747
CHEMBL220110_run_17.log	4	10.26	36.255	4.96568
CHEMBL220110_run_20.log	4	10.457	35.934	8.92005
CHEMBL220110_01_run_1.log	10	10.517	36.291	2.36243
CHEMBL220110_01_run_8.log	9	10.644	34.694	8.82419
CHEMBL220110_run_10.log	6	10.838	36.205	4.72269
CHEMBL220110_run_1.log	5	11.44	34.561	11.0704
CHEMBL220110_01_run_5.log	6	11.501	35.708	7.49593
CHEMBL220110_run_23.log	7	11.502	35.229	9.08008
CHEMBL220110_01_run_5.log	7	11.525	35.215	7.04195
CHEMBL220110_run_17.log	7	11.578	35.704	8.27725
CHEMBL220110_run_13.log	8	11.771	35.42	12.6138
CHEMBL220110_01_run_19.log	8	11.835	35.058	7.82309
CHEMBL220110_run_3.log	11	11.856	34.87	10.6735
