	File		Model	T_Energy I_Energy RMSD
CHEMBL374677_03_run_14.log	1	13.995	54.588	0
CHEMBL374677_03_run_14.log	2	14.807	56.672	2.05243
CHEMBL374677_02_run_6.log	1	15.902	53.506	9.09358
CHEMBL374677_02_run_16.log	2	18.033	53.47	9.13363
CHEMBL374677_03_run_22.log	1	19.757	54.516	2.08193
CHEMBL374677_03_run_20.log	1	20.111	57.392	9.25128
CHEMBL374677_03_run_21.log	3	20.473	55.244	9.36166
CHEMBL374677_03_run_14.log	3	20.651	57.27	9.24691
CHEMBL374677_03_run_4.log	4	21.125	57.74	2.07183
CHEMBL374677_03_run_14.log	4	21.317	59.803	4.77014
CHEMBL374677_03_run_20.log	3	21.585	58.636	9.21985
CHEMBL374677_02_run_7.log	3	21.779	54.028	2.01068
CHEMBL374677_01_run_20.log	1	21.788	60.434	9.17382
CHEMBL374677_03_run_9.log	3	21.88	53.931	3.5746
CHEMBL374677_run_22.log	1	21.93	51.485	4.35488
CHEMBL374677_02_run_2.log	7	22.242	56.593	2.61878
CHEMBL374677_run_17.log	2	22.252	51.94	8.59966
CHEMBL374677_01_run_16.log	1	22.282	57.495	8.74754
CHEMBL374677_run_4.log	2	22.301	52.335	8.61429
CHEMBL374677_03_run_19.log	2	22.311	57.479	9.4603
