	File		Model	T_Energy I_Energy RMSD
CHEMBL374677_03_run_14.log	1	13.995	54.588	0
CHEMBL374677_03_run_14.log	2	14.807	56.672	2.05243
CHEMBL374677_03_run_22.log	1	19.757	54.516	2.08193
CHEMBL374677_03_run_20.log	1	20.111	57.392	9.25128
CHEMBL374677_03_run_21.log	3	20.473	55.244	9.36166
CHEMBL374677_03_run_14.log	3	20.651	57.27	9.24691
CHEMBL374677_03_run_4.log	4	21.125	57.74	2.07183
CHEMBL374677_03_run_14.log	4	21.317	59.803	4.77014
CHEMBL374677_03_run_20.log	3	21.585	58.636	9.21985
CHEMBL374677_03_run_9.log	3	21.88	53.931	3.5746
CHEMBL374677_03_run_19.log	2	22.311	57.479	9.4603
CHEMBL374677_03_run_6.log	3	22.422	56.796	2.45818
CHEMBL374677_03_run_5.log	5	22.449	54.615	4.0627
CHEMBL374677_03_run_20.log	4	22.802	54.701	7.23613
CHEMBL374677_03_run_21.log	6	24.092	53.692	3.1372
CHEMBL374677_03_run_8.log	5	24.352	56.284	2.35538
CHEMBL374677_03_run_13.log	5	24.593	53.207	3.00209
CHEMBL374677_03_run_5.log	6	24.882	54.862	3.61979
CHEMBL374677_03_run_10.log	7	24.998	52.798	8.7956
CHEMBL374677_03_run_22.log	3	25.015	52.405	9.63475
