	File		Model	T_Energy I_Energy RMSD
CHEMBL219988_01_run_2.log	1	11.911	52.419	0
CHEMBL219988_01_run_21.log	1	12.759	53.578	9.57703
CHEMBL219988_01_run_20.log	4	14.134	51.588	2.11492
CHEMBL219988_01_run_1.log	1	17.797	50.684	9.73797
CHEMBL219988_01_run_1.log	4	19.436	50.827	9.89315
CHEMBL219988_01_run_3.log	1	19.461	55.621	2.60439
CHEMBL219988_01_run_23.log	4	19.977	58.787	7.48657
CHEMBL219988_01_run_8.log	1	19.997	53.35	9.39993
CHEMBL219988_01_run_23.log	5	20.345	52.945	10.7871
CHEMBL219988_01_run_18.log	7	20.424	56.989	10.027
CHEMBL219988_01_run_16.log	2	21.715	54.122	9.87902
CHEMBL219988_01_run_5.log	1	21.854	54.906	5.98059
CHEMBL219988_01_run_18.log	9	22.379	50.855	9.92665
CHEMBL219988_01_run_3.log	4	22.565	55.552	3.58923
CHEMBL219988_01_run_7.log	4	23.187	56.244	10.5361
CHEMBL219988_01_run_8.log	8	23.214	53.571	9.41625
CHEMBL219988_01_run_1.log	6	23.243	55.081	7.93431
CHEMBL219988_01_run_18.log	12	23.394	49.574	7.21104
CHEMBL219988_01_run_20.log	7	23.479	51.186	3.45469
CHEMBL219988_01_run_21.log	8	23.614	55.862	9.31061
