	File		Model	T_Energy I_Energy RMSD
CHEMBL255465_02_run_18.log	1	-32.386	-10.278	0
CHEMBL255465_02_run_20.log	1	-31.241	-10.278	11.1458
CHEMBL255465_02_run_9.log	2	-29.686	-10.278	9.33421
CHEMBL255465_02_run_21.log	2	-28.386	-10.278	11.2944
CHEMBL255465_02_run_19.log	3	-28.2	-10.278	12.2002
CHEMBL255465_02_run_13.log	6	-27.63	-10.278	12.6973
CHEMBL255465_02_run_5.log	8	-27.379	-10.278	10.2178
CHEMBL255465_02_run_10.log	7	-27.361	-10.278	9.02736
CHEMBL255465_02_run_2.log	7	-27.323	-10.278	12.8534
CHEMBL255465_02_run_23.log	10	-27.194	-10.278	11.8158
CHEMBL255465_02_run_19.log	10	-26.721	-10.278	11.4817
CHEMBL255465_02_run_12.log	12	-26.718	-10.278	8.46676
CHEMBL255465_02_run_17.log	14	-26.659	-10.278	9.10662
CHEMBL255465_02_run_12.log	14	-26.388	-10.278	10.9428
CHEMBL255465_02_run_19.log	12	-26.383	-10.278	9.95932
CHEMBL255465_02_run_22.log	15	-25.955	-10.278	13.6639
CHEMBL255465_02_run_17.log	17	-25.873	-10.278	10.0681
CHEMBL255465_02_run_3.log	20	-25.778	-10.278	11.714
CHEMBL255465_02_run_20.log	17	-25.652	-10.278	12.8709
CHEMBL255465_02_run_23.log	18	-25.52	-10.278	11.4646
