	File		Model	T_Energy I_Energy RMSD
CHEMBL375621_01_run_15.log	1	35.859	63.564	0
CHEMBL375621_01_run_12.log	2	36.749	63.814	9.04924
CHEMBL375621_01_run_17.log	5	39.366	63.674	9.78547
CHEMBL375621_01_run_20.log	3	40.448	64.914	8.86227
CHEMBL375621_01_run_12.log	5	40.517	64.248	8.45276
CHEMBL375621_01_run_1.log	4	40.6	69.218	4.06429
CHEMBL375621_01_run_12.log	9	41.266	62.958	9.35296
CHEMBL375621_01_run_16.log	8	41.285	63.474	9.69404
CHEMBL375621_01_run_13.log	6	41.438	65.769	4.48732
CHEMBL375621_01_run_17.log	8	41.516	64.442	9.14477
CHEMBL375621_01_run_11.log	8	41.653	65.285	8.88565
CHEMBL375621_01_run_13.log	10	41.864	64.146	8.67702
CHEMBL375621_01_run_6.log	13	41.977	64.067	9.40342
CHEMBL375621_01_run_17.log	13	42.087	64.899	8.61569
CHEMBL375621_01_run_15.log	13	42.237	64.758	2.08234
CHEMBL375621_01_run_21.log	12	42.597	65.311	11.3386
CHEMBL375621_01_run_5.log	11	42.599	66.109	7.82725
CHEMBL375621_01_run_4.log	15	42.708	65.46	4.54158
CHEMBL375621_01_run_4.log	16	42.88	63.444	9.66368
CHEMBL375621_01_run_16.log	14	42.897	63.876	9.58661
