	File		Model	T_Energy I_Energy RMSD
CHEMBL565459_run_8.log	1	24.625	62.663	0
CHEMBL565459_run_1.log	3	26.745	61.534	4.24912
CHEMBL565459_run_19.log	3	27.556	61.609	9.58918
CHEMBL565459_run_8.log	3	27.562	60.071	10.0674
CHEMBL565459_run_4.log	1	28.682	60.312	9.82869
CHEMBL565459_run_19.log	4	29.062	62.493	10.2526
CHEMBL565459_run_16.log	2	29.233	61.219	10.4236
CHEMBL565459_run_8.log	4	29.974	63.606	10.1334
CHEMBL565459_run_22.log	4	29.987	62.09	9.75184
CHEMBL565459_run_22.log	6	30.581	66.187	3.83303
CHEMBL565459_run_7.log	4	30.722	60.203	11.5003
CHEMBL565459_run_4.log	3	30.722	63.127	10.251
CHEMBL565459_run_19.log	7	30.87	62.598	10.6971
CHEMBL565459_run_4.log	5	30.923	61.844	9.63931
CHEMBL565459_run_1.log	5	30.939	69.711	2.615
CHEMBL565459_run_11.log	4	31.02	61.084	2.02738
CHEMBL565459_run_17.log	3	31.027	62.955	11.0342
CHEMBL565459_run_4.log	6	31.128	62.946	9.5764
CHEMBL565459_run_16.log	3	31.354	71.305	2.60201
CHEMBL565459_run_21.log	4	31.535	59.105	10.2362
