	File		Model	T_Energy I_Energy RMSD
CHEMBL220897_03_run_23.log	1	9.202	51.961	0
CHEMBL220897_03_run_23.log	3	10.055	51.739	2.16016
CHEMBL220897_03_run_20.log	1	13.389	53.336	9.82081
CHEMBL220897_03_run_17.log	4	14.615	55.507	9.65526
CHEMBL220897_run_19.log	1	18.249	50.848	4.54042
CHEMBL220897_03_run_15.log	4	18.641	55.19	9.71947
CHEMBL220897_run_2.log	3	19.009	49.527	11.1082
CHEMBL220897_02_run_8.log	5	19.049	56.178	9.76983
CHEMBL220897_run_13.log	5	19.335	52.676	9.92217
CHEMBL220897_02_run_21.log	6	19.405	52.26	9.34168
CHEMBL220897_run_24.log	4	19.685	49.603	11.1252
CHEMBL220897_03_run_22.log	7	19.879	57.037	7.46708
CHEMBL220897_03_run_18.log	9	20.035	55.623	3.09161
CHEMBL220897_03_run_17.log	7	20.348	59.163	7.69789
CHEMBL220897_03_run_17.log	9	20.386	54.195	10.5806
CHEMBL220897_run_6.log	6	20.679	50.259	10.1043
CHEMBL220897_run_18.log	5	20.876	54.331	10.9221
CHEMBL220897_03_run_23.log	8	20.879	55.614	3.6234
CHEMBL220897_03_run_19.log	5	20.894	55.465	3.0092
CHEMBL220897_run_15.log	7	21.033	50.986	4.88625
