	File		Model	T_Energy I_Energy RMSD
CHEMBL379218_run_11.log	1	41.389	79.888	0
CHEMBL379218_run_3.log	1	41.954	80.387	2.34419
CHEMBL379218_run_7.log	2	42.821	80.377	2.82995
CHEMBL379218_run_2.log	2	42.992	80.864	10.2643
CHEMBL379218_run_1.log	3	43.094	80.262	3.71623
CHEMBL379218_run_14.log	2	44.061	86.629	10.2363
CHEMBL379218_run_1.log	5	45.143	80.062	2.73946
CHEMBL379218_run_11.log	5	45.259	82.806	11.0796
CHEMBL379218_run_2.log	6	45.399	80.582	2.81778
CHEMBL379218_run_15.log	9	45.711	80.167	3.14199
CHEMBL379218_run_15.log	10	45.838	85.824	9.75709
CHEMBL379218_run_2.log	13	46.153	81.444	10.5252
CHEMBL379218_run_7.log	9	46.349	80.564	3.19112
CHEMBL379218_run_2.log	14	46.469	80.585	3.63467
CHEMBL379218_run_11.log	9	46.506	80.288	2.36377
CHEMBL379218_run_21.log	10	46.884	82.044	4.19721
CHEMBL379218_run_5.log	18	47.432	80.066	2.07306
CHEMBL379218_run_1.log	16	47.926	79.974	4.14003
CHEMBL379218_run_7.log	15	48.102	80.481	4.37879
CHEMBL379218_run_16.log	7	48.222	86.564	9.257
