	File		Model	T_Energy I_Energy RMSD
CHEMBL374876_01_run_4.log	1	24.294	55.798	0
CHEMBL374876_01_run_6.log	1	29.615	59.487	3.52715
CHEMBL374876_01_run_13.log	4	29.755	56.96	2.20237
CHEMBL374876_01_run_1.log	5	31.807	56.867	4.99547
CHEMBL374876_01_run_20.log	4	32.126	59.403	3.96953
CHEMBL374876_01_run_15.log	1	32.316	57.276	9.62488
CHEMBL374876_01_run_12.log	2	32.363	56.184	8.97431
CHEMBL374876_01_run_19.log	1	32.759	56.179	9.37832
CHEMBL374876_01_run_1.log	8	33.211	56.547	3.33675
CHEMBL374876_01_run_7.log	8	33.683	54.458	8.89759
CHEMBL374876_01_run_22.log	6	33.897	56.04	9.66675
CHEMBL374876_run_3.log	3	34.07	59.984	4.55211
CHEMBL374876_01_run_11.log	8	34.111	56.388	4.32009
CHEMBL374876_run_9.log	3	34.153	56.265	10.9573
CHEMBL374876_01_run_4.log	8	34.268	56.511	13.5631
CHEMBL374876_01_run_3.log	7	34.453	56.698	2.3416
CHEMBL374876_01_run_17.log	7	34.522	55.562	9.19176
CHEMBL374876_01_run_16.log	8	34.547	58.247	7.63696
CHEMBL374876_run_5.log	5	34.641	58.389	8.21869
CHEMBL374876_run_11.log	4	34.729	59.725	5.11726
