	File		Model	T_Energy I_Energy RMSD
CHEMBL599224_run_12.log	1	-10.049	13.979	0
CHEMBL599224_run_18.log	1	-9.981	14.581	7.90443
CHEMBL599224_run_10.log	1	-9.973	13.639	9.03624
CHEMBL599224_run_14.log	3	-9.485	13.298	8.98532
CHEMBL599224_run_21.log	2	-9.106	13.696	2.31624
CHEMBL599224_run_18.log	5	-8.362	13.882	2.95548
CHEMBL599224_run_19.log	5	-7.961	14.081	3.81078
CHEMBL599224_run_18.log	8	-7.562	14.701	9.37836
CHEMBL599224_run_10.log	9	-7.395	13.545	9.27415
CHEMBL599224_run_16.log	8	-6.92	15.328	10.4587
CHEMBL599224_run_19.log	11	-6.725	13.369	8.88656
CHEMBL599224_run_7.log	8	-6.555	13.791	5.40505
CHEMBL599224_run_16.log	10	-6.42	13.672	8.94436
CHEMBL599224_run_9.log	9	-6.375	13.111	4.78665
CHEMBL599224_run_23.log	10	-6.068	14.448	4.11811
CHEMBL599224_run_6.log	10	-6.034	16.473	9.54147
CHEMBL599224_run_18.log	9	-6.02	13.714	9.90156
CHEMBL599224_run_9.log	10	-6.019	15.273	9.78315
CHEMBL599224_run_2.log	8	-5.961	13.987	3.71535
CHEMBL599224_run_20.log	9	-5.947	13.654	9.43034
