	File		Model	T_Energy I_Energy RMSD
CHEMBL375544_01_run_22.log	1	20.786	55.074	0
CHEMBL375544_01_run_23.log	1	22.642	57.966	8.62381
CHEMBL375544_01_run_2.log	1	22.865	54.242	4.60048
CHEMBL375544_01_run_11.log	1	23.215	61.792	9.72345
CHEMBL375544_01_run_11.log	3	23.688	56.311	7.73621
CHEMBL375544_01_run_23.log	2	23.788	51.521	8.31072
CHEMBL375544_01_run_3.log	3	24.149	54.435	9.86226
CHEMBL375544_01_run_15.log	3	24.771	57.069	4.819
CHEMBL375544_01_run_6.log	3	24.83	58.351	2.05699
CHEMBL375544_01_run_23.log	3	24.985	65.847	9.50466
CHEMBL375544_01_run_7.log	2	25.192	51.99	8.42911
CHEMBL375544_01_run_17.log	3	25.443	54.602	3.39806
CHEMBL375544_01_run_24.log	3	25.462	55.762	8.70255
CHEMBL375544_01_run_7.log	4	25.716	58.259	7.65888
CHEMBL375544_01_run_6.log	6	26.016	58.772	2.75893
CHEMBL375544_01_run_12.log	3	26.052	56.669	8.60503
CHEMBL375544_01_run_18.log	3	26.147	57.512	4.27534
CHEMBL375544_01_run_2.log	4	26.406	56.377	8.9765
CHEMBL375544_01_run_5.log	6	26.492	56.401	9.54313
CHEMBL375544_01_run_20.log	6	26.657	56.034	7.58842
