	File		Model	T_Energy I_Energy RMSD
CHEMBL569869_run_20.log	1	23.765	61.909	0
CHEMBL569869_run_3.log	2	24.98	60.225	2.0208
CHEMBL569869_run_10.log	1	25.502	59.498	10.0887
CHEMBL569869_run_20.log	3	26.135	60.647	4.14083
CHEMBL569869_run_12.log	1	26.18	59.475	9.66039
CHEMBL569869_run_2.log	1	27.008	59.036	9.89767
CHEMBL569869_run_12.log	5	27.041	62.754	10.0868
CHEMBL569869_run_23.log	2	27.326	58.106	10.2991
CHEMBL569869_run_1.log	1	28.311	65.261	3.87899
CHEMBL569869_run_1.log	2	28.481	68.649	2.29683
CHEMBL569869_run_10.log	5	28.737	59.469	9.92551
CHEMBL569869_run_4.log	1	29.195	70.239	2.83284
CHEMBL569869_run_6.log	3	29.253	61.666	9.75041
CHEMBL569869_run_7.log	3	29.443	63.012	2.65796
CHEMBL569869_run_18.log	7	29.469	57.298	10.4151
CHEMBL569869_run_1.log	4	29.496	69.299	5.61381
CHEMBL569869_run_13.log	2	29.507	61.545	11.1229
CHEMBL569869_run_3.log	5	29.544	58.63	11.6091
CHEMBL569869_run_10.log	6	29.63	61.519	10.4166
CHEMBL569869_run_13.log	3	29.633	57.122	10.658
