	File		Model	T_Energy I_Energy RMSD
CHEMBL199395_run_23.log	1	30.504	54.942	0
CHEMBL199395_run_14.log	1	30.682	54.533	3.17374
CHEMBL199395_run_9.log	2	30.859	54.975	7.06533
CHEMBL199395_run_18.log	2	31.192	55.026	3.52007
CHEMBL199395_run_14.log	4	31.641	53.524	7.11333
CHEMBL199395_run_10.log	3	31.683	53.157	9.579
CHEMBL199395_run_12.log	6	31.957	54.191	8.63357
CHEMBL199395_run_8.log	7	32.046	53.623	11.3996
CHEMBL199395_run_23.log	7	32.107	53.989	11.5856
CHEMBL199395_run_13.log	5	32.205	54.919	10.7912
CHEMBL199395_run_16.log	5	32.26	56.593	6.28728
CHEMBL199395_run_2.log	5	32.267	53.003	9.46547
CHEMBL199395_run_11.log	5	32.336	55.958	6.56622
CHEMBL199395_run_17.log	7	32.735	55.015	8.85025
CHEMBL199395_run_5.log	10	32.808	57.672	2.07163
CHEMBL199395_run_18.log	12	33.022	53.992	8.93997
CHEMBL199395_run_11.log	8	33.088	54.655	9.63258
CHEMBL199395_run_12.log	10	33.321	54.346	11.0079
CHEMBL199395_run_16.log	8	33.349	52.69	7.9787
CHEMBL199395_run_22.log	9	33.583	54.863	10.8344
