	File		Model	T_Energy I_Energy RMSD
CHEMBL221117_01_run_14.log	1	12.001	46.235	0
CHEMBL221117_run_15.log	1	14.477	46.802	9.1922
CHEMBL221117_01_run_21.log	1	14.916	49.135	9.74092
CHEMBL221117_run_11.log	2	16.439	46.811	9.32722
CHEMBL221117_01_run_15.log	1	16.651	49.646	9.6893
CHEMBL221117_01_run_2.log	2	18.774	49.868	2.48331
CHEMBL221117_01_run_3.log	2	18.848	45.725	9.31662
CHEMBL221117_01_run_5.log	2	19.484	51.634	3.4183
CHEMBL221117_01_run_17.log	2	19.695	52.488	2.25673
CHEMBL221117_01_run_12.log	3	20.529	49.379	3.38621
CHEMBL221117_run_15.log	3	20.924	46.13	7.2768
CHEMBL221117_run_21.log	4	21.2	45.074	8.43003
CHEMBL221117_run_13.log	4	21.25	47.171	5.07138
CHEMBL221117_run_18.log	1	21.286	43.985	10.5275
CHEMBL221117_01_run_8.log	4	21.435	49.583	5.17659
CHEMBL221117_01_run_12.log	5	21.439	48.601	4.9634
CHEMBL221117_run_15.log	6	21.732	47.1	9.24992
CHEMBL221117_01_run_7.log	4	21.738	46.575	10.1266
CHEMBL221117_01_run_6.log	5	21.912	47.695	10.7122
CHEMBL221117_01_run_4.log	4	21.971	46.289	9.20149
