	File		Model	T_Energy I_Energy RMSD
CHEMBL220112_01_run_15.log	1	22.091	53.34	0
CHEMBL220112_run_23.log	1	22.158	52.206	4.70438
CHEMBL220112_01_run_14.log	1	22.308	60.177	10.105
CHEMBL220112_run_15.log	2	22.76	52.491	10.0286
CHEMBL220112_run_24.log	2	22.777	59.371	10.1029
CHEMBL220112_run_21.log	1	22.906	54.946	10.7737
CHEMBL220112_run_7.log	2	23.012	52.542	5.02336
CHEMBL220112_01_run_20.log	1	23.248	57.732	10.5072
CHEMBL220112_01_run_5.log	1	23.372	57.26	4.64867
CHEMBL220112_01_run_21.log	2	24.212	54.011	11.3692
CHEMBL220112_run_24.log	5	24.224	55.872	8.68636
CHEMBL220112_run_12.log	5	24.287	54.764	8.55862
CHEMBL220112_run_10.log	5	24.45	52.981	10.0771
CHEMBL220112_run_23.log	7	24.8	52.52	8.63175
CHEMBL220112_01_run_15.log	4	24.904	57.778	4.31609
CHEMBL220112_run_11.log	3	24.964	54.61	8.37371
CHEMBL220112_run_8.log	4	25.193	56.848	11.1851
CHEMBL220112_01_run_24.log	3	25.239	57.65	9.88975
CHEMBL220112_run_21.log	9	25.432	54.937	8.49277
CHEMBL220112_01_run_24.log	4	25.531	54.431	9.53539
