	File		Model	T_Energy I_Energy RMSD
CHEMBL373448_01_run_23.log	1	9.094	44.607	0
CHEMBL373448_01_run_23.log	2	10.134	42.56	2.23499
CHEMBL373448_01_run_9.log	1	10.354	43.843	6.57453
CHEMBL373448_run_22.log	1	10.649	44.091	5.09505
CHEMBL373448_01_run_13.log	1	10.88	46.365	3.69291
CHEMBL373448_run_18.log	2	11.225	45.011	10.6974
CHEMBL373448_01_run_5.log	3	11.659	43.2	5.79005
CHEMBL373448_run_18.log	4	12.064	43.714	8.99082
CHEMBL373448_run_5.log	1	12.264	45.75	5.53627
CHEMBL373448_run_22.log	3	12.546	44.293	4.88373
CHEMBL373448_run_17.log	2	12.555	43.227	10.6166
CHEMBL373448_run_22.log	7	13.272	44.869	8.78268
CHEMBL373448_run_22.log	8	13.291	45.529	5.22713
CHEMBL373448_run_8.log	7	13.54	45.938	4.87437
CHEMBL373448_01_run_16.log	5	13.572	43.136	9.99077
CHEMBL373448_01_run_1.log	4	13.582	45.464	5.31858
CHEMBL373448_run_5.log	5	13.822	44.936	10.0695
CHEMBL373448_01_run_16.log	6	14.142	45.352	5.21454
CHEMBL373448_run_23.log	7	14.19	43.158	9.0977
CHEMBL373448_run_8.log	9	14.368	45.32	10.1201
