	File		Model	T_Energy I_Energy RMSD
CHEMBL222249_01_run_17.log	1	6.735	40.543	0
CHEMBL222249_01_run_17.log	3	7.979	40.526	2.16957
CHEMBL222249_01_run_17.log	4	8.04	42.106	9.4423
CHEMBL222249_run_6.log	1	8.189	40.18	9.30164
CHEMBL222249_01_run_18.log	3	9.049	43.663	9.74679
CHEMBL222249_01_run_18.log	4	9.306	40.798	9.48831
CHEMBL222249_run_9.log	2	10.232	40.36	9.39894
CHEMBL222249_01_run_2.log	1	10.233	40.459	5.00953
CHEMBL222249_run_8.log	5	10.433	40.54	10.1355
CHEMBL222249_01_run_7.log	3	10.439	44.277	9.65433
CHEMBL222249_01_run_13.log	5	10.522	40.038	9.30737
CHEMBL222249_run_10.log	4	10.754	40.485	4.69461
CHEMBL222249_run_14.log	7	11.851	40.639	10.5871
CHEMBL222249_01_run_21.log	3	12.121	43.691	11.8874
CHEMBL222249_01_run_9.log	7	12.169	41.957	5.09777
CHEMBL222249_run_7.log	5	12.253	42.416	5.45289
CHEMBL222249_01_run_13.log	7	12.268	39.601	4.86399
CHEMBL222249_01_run_18.log	9	12.336	42.942	9.52254
CHEMBL222249_01_run_21.log	4	12.514	40.818	10.143
CHEMBL222249_run_18.log	7	12.559	39.56	9.22269
