	File		Model	T_Energy I_Energy RMSD
CHEMBL247619_01_run_12.log	1	35.675	79.534	0
CHEMBL247619_01_run_13.log	1	40.598	77.085	7.59267
CHEMBL247619_01_run_9.log	2	41.511	74.336	7.07796
CHEMBL247619_01_run_4.log	2	42.191	75.014	10.0213
CHEMBL247619_01_run_2.log	3	42.403	79.223	2.2414
CHEMBL247619_01_run_9.log	3	43.524	75.666	7.39353
CHEMBL247619_01_run_9.log	4	44.641	75.468	7.44211
CHEMBL247619_01_run_10.log	1	44.95	79.351	7.10061
CHEMBL247619_01_run_3.log	1	45.101	79.661	7.87425
CHEMBL247619_01_run_13.log	6	46.392	78.86	4.09705
CHEMBL247619_01_run_3.log	2	46.488	77.998	8.09026
CHEMBL247619_01_run_9.log	5	46.556	76.617	6.96323
CHEMBL247619_01_run_7.log	4	46.754	79.208	3.0996
CHEMBL247619_01_run_15.log	3	46.902	77.261	8.8321
CHEMBL247619_01_run_2.log	5	46.992	77.387	10.7446
CHEMBL247619_01_run_6.log	4	47.274	79.83	6.70777
CHEMBL247619_01_run_3.log	3	47.599	79.522	4.03845
CHEMBL247619_01_run_17.log	3	47.952	77.356	10.2681
CHEMBL247619_01_run_12.log	2	48.54	79.99	8.0723
CHEMBL247619_01_run_8.log	4	48.59	80.096	5.61355
