	File		Model	T_Energy I_Energy RMSD
CHEMBL221109_01_run_7.log	1	4.405	38.843	0
CHEMBL221109_01_run_3.log	2	5.257	39.457	2.15856
CHEMBL221109_01_run_13.log	1	5.442	39.557	9.34295
CHEMBL221109_01_run_11.log	1	5.632	40.554	9.73299
CHEMBL221109_01_run_24.log	2	6.279	41.654	9.57127
CHEMBL221109_01_run_7.log	3	6.541	38.406	2.35355
CHEMBL221109_01_run_17.log	3	6.601	38.612	9.58349
CHEMBL221109_01_run_7.log	4	6.632	38.037	2.95135
CHEMBL221109_01_run_22.log	1	6.836	36.948	9.15594
CHEMBL221109_01_run_12.log	4	7.593	37.584	9.26081
CHEMBL221109_01_run_22.log	3	8.492	37.533	4.96795
CHEMBL221109_01_run_7.log	7	8.623	39.587	4.86465
CHEMBL221109_01_run_17.log	5	8.631	40.78	9.40298
CHEMBL221109_01_run_14.log	4	9.633	40.184	5.6748
CHEMBL221109_01_run_12.log	9	10.335	35.955	9.09507
CHEMBL221109_01_run_17.log	8	10.601	38.895	5.3238
CHEMBL221109_01_run_10.log	7	10.983	37.836	9.83907
CHEMBL221109_01_run_22.log	5	11.085	40.924	5.22678
CHEMBL221109_01_run_24.log	6	11.189	38.669	10.344
CHEMBL221109_01_run_16.log	7	11.19	37.812	4.89795
