	File		Model	T_Energy I_Energy RMSD
CHEMBL255465_01_run_10.log	1	-27.723	-3.827	0
CHEMBL255465_01_run_12.log	2	-26.298	-3.827	9.82304
CHEMBL255465_01_run_13.log	3	-23.792	-3.827	8.06384
CHEMBL255465_01_run_6.log	4	-23.53	-3.827	5.39656
CHEMBL255465_01_run_18.log	6	-22.534	-3.827	9.79571
CHEMBL255465_01_run_5.log	5	-22.444	-3.827	2.31932
CHEMBL255465_01_run_18.log	9	-21.783	-3.827	4.2571
CHEMBL255465_01_run_22.log	8	-21.61	-3.827	10.4608
CHEMBL255465_01_run_21.log	10	-21.6	-3.827	10.0503
CHEMBL255465_01_run_2.log	9	-21.578	-3.827	8.09399
CHEMBL255465_01_run_7.log	12	-21.448	-3.827	4.23959
CHEMBL255465_01_run_11.log	13	-20.984	-3.827	7.49095
CHEMBL255465_01_run_15.log	13	-20.975	-3.827	9.81064
CHEMBL255465_01_run_20.log	17	-20.699	-3.827	6.79529
CHEMBL255465_01_run_5.log	17	-20.447	-3.827	5.45583
CHEMBL255465_01_run_23.log	20	-20.094	-3.827	4.19072
CHEMBL255465_01_run_18.log	16	-20.04	-3.827	9.18198
CHEMBL255465_01_run_13.log	21	-20.037	-3.827	8.25823
CHEMBL255465_01_run_16.log	20	-20.008	-3.827	8.47485
CHEMBL255465_01_run_9.log	18	-19.85	-3.827	8.48442
