	File		Model	T_Energy I_Energy RMSD
CHEMBL361708_02_run_19.log	1	-32.678	-11.923	0
CHEMBL361708_02_run_11.log	2	-32.034	-11.923	9.17669
CHEMBL361708_02_run_4.log	3	-31.631	-11.923	7.00113
CHEMBL361708_02_run_19.log	4	-29.967	-11.923	8.49833
CHEMBL361708_02_run_23.log	5	-29.543	-11.923	5.50338
CHEMBL361708_02_run_12.log	7	-29.037	-11.923	5.75807
CHEMBL361708_02_run_1.log	6	-28.591	-11.923	7.21046
CHEMBL361708_02_run_13.log	9	-28.555	-11.923	9.56457
CHEMBL361708_02_run_14.log	10	-28.351	-11.923	14.1784
CHEMBL361708_02_run_1.log	7	-28.202	-11.923	4.97494
CHEMBL361708_02_run_21.log	10	-28.189	-11.923	20.1766
CHEMBL361708_02_run_20.log	9	-27.917	-11.923	13.1692
CHEMBL361708_02_run_7.log	9	-27.908	-11.923	2.08561
CHEMBL361708_02_run_2.log	12	-27.88	-11.923	4.56351
CHEMBL361708_02_run_5.log	11	-27.859	-11.923	5.11929
CHEMBL361708_02_run_16.log	12	-27.819	-11.923	9.49952
CHEMBL361708_02_run_9.log	13	-27.67	-11.923	13.7196
CHEMBL361708_02_run_19.log	16	-27.363	-11.923	7.7354
CHEMBL361708_02_run_7.log	14	-27.306	-11.923	5.60622
CHEMBL361708_02_run_12.log	17	-27.283	-11.923	7.41688
