	File		Model	T_Energy I_Energy RMSD
CHEMBL247798_run_19.log	1	-14.296	24.802	0
CHEMBL247798_run_23.log	1	-13.191	30.209	10.8544
CHEMBL247798_run_22.log	2	-9.158	31.974	11.592
CHEMBL247798_run_20.log	1	-8.987	25.888	12.0621
CHEMBL247798_run_24.log	1	-8.284	24.399	11.3123
CHEMBL247798_run_15.log	3	-7.63	26.185	11.2591
CHEMBL247798_run_2.log	4	-7.354	28.148	11.6849
CHEMBL247798_run_2.log	6	-7.206	27.303	12.8495
CHEMBL247798_run_6.log	1	-6.371	24.022	15.3407
CHEMBL247798_run_12.log	1	-6.255	22.239	11.2962
CHEMBL247798_run_18.log	1	-5.817	24.927	14.7464
CHEMBL247798_run_11.log	1	-5.382	27.746	9.73437
CHEMBL247798_run_16.log	5	-5.356	26.439	2.66745
CHEMBL247798_run_15.log	7	-4.816	22.08	11.6273
CHEMBL247798_run_2.log	10	-4.726	27.797	12.2009
CHEMBL247798_run_18.log	3	-4.579	24.136	12.1719
CHEMBL247798_run_15.log	9	-4.575	29.21	14.5572
CHEMBL247798_run_11.log	2	-4.553	24.927	3.51947
CHEMBL247798_run_7.log	2	-3.803	25.146	10.7198
CHEMBL247798_run_7.log	3	-3.794	28.945	13.1649
