	File		Model	T_Energy I_Energy RMSD
CHEMBL219849_02_run_18.log	1	16.102	52.771	0
CHEMBL219849_02_run_22.log	1	16.953	54.391	9.68274
CHEMBL219849_02_run_17.log	5	18.518	55.213	9.11737
CHEMBL219849_02_run_20.log	6	18.96	52.94	2.09033
CHEMBL219849_02_run_23.log	4	19.318	54.872	9.25007
CHEMBL219849_02_run_23.log	7	19.908	55.321	9.19298
CHEMBL219849_02_run_21.log	7	20.204	55.554	10.0994
CHEMBL219849_02_run_12.log	5	20.651	62.875	8.63004
CHEMBL219849_02_run_14.log	7	21.599	55.921	9.16215
CHEMBL219849_02_run_22.log	4	21.687	55.765	9.34479
CHEMBL219849_02_run_11.log	6	22.171	50.933	4.80209
CHEMBL219849_02_run_21.log	9	22.221	53.555	9.95432
CHEMBL219849_02_run_4.log	9	23.064	53.944	9.53653
CHEMBL219849_02_run_10.log	7	23.621	49.927	8.61603
CHEMBL219849_02_run_4.log	12	23.7	52.813	9.70357
CHEMBL219849_02_run_19.log	9	23.705	55.98	9.04808
CHEMBL219849_02_run_20.log	11	24.104	58.909	8.69602
CHEMBL219849_02_run_9.log	6	24.289	58.13	9.23612
CHEMBL219849_02_run_21.log	14	24.509	49.926	9.23205
CHEMBL219849_02_run_6.log	10	24.61	49.565	6.43931
