	File		Model	T_Energy I_Energy RMSD
CHEMBL223471_01_run_24.log	1	13.848	51.611	0
CHEMBL223471_01_run_2.log	2	14.374	49.498	9.77502
CHEMBL223471_01_run_10.log	2	14.83	52.334	2.09456
CHEMBL223471_01_run_2.log	5	15.125	51.447	9.05365
CHEMBL223471_01_run_2.log	6	16.313	48.856	4.77665
CHEMBL223471_run_20.log	1	16.754	48.182	9.02171
CHEMBL223471_01_run_17.log	2	17.342	49.883	2.99464
CHEMBL223471_run_17.log	1	17.581	50.14	9.75107
CHEMBL223471_run_22.log	2	18.23	48.117	9.20303
CHEMBL223471_01_run_22.log	4	18.291	51.068	4.96895
CHEMBL223471_01_run_20.log	2	18.83	48.39	9.00352
CHEMBL223471_01_run_11.log	3	18.946	48.159	9.4531
CHEMBL223471_run_18.log	3	18.997	49.593	9.23998
CHEMBL223471_run_20.log	3	19.038	50.056	7.55771
CHEMBL223471_run_19.log	4	19.038	49.862	9.80354
CHEMBL223471_01_run_21.log	4	19.198	49.466	2.11917
CHEMBL223471_run_19.log	6	19.57	48.373	8.64692
CHEMBL223471_run_18.log	5	19.594	51.391	10.3144
CHEMBL223471_01_run_7.log	5	19.712	51.998	2.04369
CHEMBL223471_01_run_6.log	4	19.812	51.846	7.11303
