	File		Model	T_Energy I_Energy RMSD
CHEMBL397332_01_run_12.log	1	-14.049	17.512	0
CHEMBL397332_01_run_22.log	2	-11.764	17.779	9.08959
CHEMBL397332_01_run_24.log	2	-11.671	17.567	2.09406
CHEMBL397332_01_run_17.log	6	-8.522	23.391	2.40494
CHEMBL397332_01_run_13.log	5	-7.768	17.762	7.52073
CHEMBL397332_01_run_21.log	6	-7.699	17.578	9.44033
CHEMBL397332_01_run_24.log	6	-7.416	17.643	9.36196
CHEMBL397332_01_run_2.log	8	-6.913	17.848	4.18058
CHEMBL397332_01_run_20.log	9	-6.534	17.771	7.6593
CHEMBL397332_01_run_12.log	8	-6.512	17.436	11.5639
CHEMBL397332_01_run_8.log	8	-6.309	17.749	9.69312
CHEMBL397332_01_run_10.log	9	-6.07	17.368	2.02816
CHEMBL397332_01_run_16.log	12	-5.786	18.329	9.03985
CHEMBL397332_01_run_23.log	10	-5.743	18.232	11.4121
CHEMBL397332_01_run_13.log	13	-5.663	17.834	5.15424
CHEMBL397332_01_run_4.log	10	-5.349	18.331	9.15516
CHEMBL397332_01_run_24.log	13	-5.345	17.563	9.1053
CHEMBL397332_01_run_10.log	15	-4.586	17.428	7.78076
CHEMBL397332_01_run_13.log	16	-4.488	17.537	9.07701
CHEMBL397332_01_run_7.log	14	-4.423	17.541	6.96962
