	File		Model	T_Energy I_Energy RMSD
CHEMBL221109_01_run_7.log	1	4.405	38.843	0
CHEMBL221109_01_run_3.log	2	5.257	39.457	2.15856
CHEMBL221109_01_run_13.log	1	5.442	39.557	9.34295
CHEMBL221109_01_run_11.log	1	5.632	40.554	9.73299
CHEMBL221109_01_run_24.log	2	6.279	41.654	9.57127
CHEMBL221109_01_run_7.log	3	6.541	38.406	2.35355
CHEMBL221109_01_run_17.log	3	6.601	38.612	9.58349
CHEMBL221109_01_run_7.log	4	6.632	38.037	2.95135
CHEMBL221109_run_11.log	3	6.82	37.749	9.23691
CHEMBL221109_01_run_22.log	1	6.836	36.948	9.15594
CHEMBL221109_run_3.log	3	6.93	39.116	4.83694
CHEMBL221109_01_run_12.log	4	7.593	37.584	9.26081
CHEMBL221109_run_6.log	4	8.084	38.971	10.495
CHEMBL221109_run_4.log	4	8.462	37.448	9.3041
CHEMBL221109_01_run_7.log	7	8.623	39.587	4.86465
CHEMBL221109_01_run_17.log	5	8.631	40.78	9.40298
CHEMBL221109_run_15.log	2	8.846	39.691	4.64294
CHEMBL221109_run_4.log	5	8.86	38.912	10.3065
CHEMBL221109_run_9.log	2	9.008	39.427	4.86637
CHEMBL221109_run_14.log	5	9.112	39.06	4.61034
