	File		Model	T_Energy I_Energy RMSD
CHEMBL440356_run_23.log	1	-21.562	2.403	0
CHEMBL440356_run_19.log	3	-15.11	2.403	13.2531
CHEMBL440356_run_11.log	4	-14.984	2.403	14.1507
CHEMBL440356_run_16.log	4	-14.383	2.403	5.64835
CHEMBL440356_run_15.log	5	-14.365	2.403	13.7488
CHEMBL440356_run_3.log	5	-14.108	2.403	4.67361
CHEMBL440356_run_1.log	7	-13.845	2.403	12.9972
CHEMBL440356_run_4.log	7	-13.716	2.403	13.4463
CHEMBL440356_run_15.log	10	-13.693	2.403	2.13616
CHEMBL440356_run_17.log	9	-13.145	2.403	14.9012
CHEMBL440356_run_2.log	8	-13.013	2.403	4.30904
CHEMBL440356_run_15.log	13	-12.935	2.403	2.53794
CHEMBL440356_run_10.log	11	-12.921	2.403	2.1439
CHEMBL440356_run_4.log	12	-12.547	2.403	3.56645
CHEMBL440356_run_22.log	13	-12.438	2.403	4.51771
CHEMBL440356_run_23.log	17	-12.032	2.403	10.4121
CHEMBL440356_run_11.log	15	-11.843	2.403	7.71793
CHEMBL440356_run_8.log	15	-11.691	2.403	8.24748
CHEMBL440356_run_20.log	17	-11.496	2.403	15.6467
CHEMBL440356_run_11.log	19	-11.447	2.403	11.773
