	File		Model	T_Energy I_Energy RMSD
CHEMBL219790_03_run_12.log	1	15.887	58.21	0
CHEMBL219790_03_run_15.log	3	17.114	59.301	2.12429
CHEMBL219790_03_run_7.log	1	17.377	53.185	10.0188
CHEMBL219790_03_run_5.log	1	21.503	56.766	9.48897
CHEMBL219790_03_run_12.log	5	22.384	61.982	4.6681
CHEMBL219790_03_run_14.log	5	22.869	56.101	3.00577
CHEMBL219790_03_run_12.log	7	23.61	54.693	2.44551
CHEMBL219790_03_run_16.log	2	23.881	59.787	2.07001
CHEMBL219790_03_run_9.log	3	24.064	58.761	9.67753
CHEMBL219790_03_run_1.log	1	24.291	56.873	7.33571
CHEMBL219790_03_run_6.log	5	24.627	55.104	8.94201
CHEMBL219790_03_run_9.log	6	24.978	56.307	2.18499
CHEMBL219790_03_run_2.log	7	25.899	57.106	2.93541
CHEMBL219790_03_run_1.log	3	26.205	56.349	7.37644
CHEMBL219790_03_run_7.log	8	26.314	53.778	9.77553
CHEMBL219790_03_run_12.log	10	26.435	64.196	5.01094
CHEMBL219790_03_run_23.log	12	26.905	60.665	9.58216
CHEMBL219790_03_run_10.log	7	26.948	57.225	3.35859
CHEMBL219790_03_run_13.log	8	26.966	51.977	6.55347
CHEMBL219790_03_run_18.log	8	27.163	59.875	3.14086
