	File		Model	T_Energy I_Energy RMSD
CHEMBL583042_run_15.log	1	23.941	65.463	0
CHEMBL583042_run_20.log	1	24.327	64.504	9.6464
CHEMBL583042_run_14.log	1	24.334	59.74	10.0295
CHEMBL583042_run_24.log	2	26.631	60.951	9.24791
CHEMBL583042_run_15.log	5	27.243	63.905	3.92319
CHEMBL583042_run_22.log	6	28.526	65.119	10.3305
CHEMBL583042_run_10.log	1	29.071	65.598	10.7093
CHEMBL583042_run_4.log	3	29.72	70.141	2.35613
CHEMBL583042_run_11.log	4	29.968	61.051	9.21674
CHEMBL583042_run_7.log	2	30.698	61.322	6.80647
CHEMBL583042_run_22.log	9	31.175	63.961	9.83526
CHEMBL583042_run_13.log	8	31.25	59.116	8.60094
CHEMBL583042_run_20.log	11	31.36	61.555	7.71063
CHEMBL583042_run_1.log	2	31.416	72.575	10.7341
CHEMBL583042_run_19.log	2	31.484	67.688	3.85712
CHEMBL583042_run_1.log	3	31.729	72.587	4.36844
CHEMBL583042_run_22.log	12	31.931	60.907	10.4606
CHEMBL583042_run_9.log	4	32.286	61.416	9.54797
CHEMBL583042_run_19.log	3	32.299	61.958	10.07
CHEMBL583042_run_1.log	4	32.457	61.716	10.3941
