	File		Model	T_Energy I_Energy RMSD
CHEMBL397332_01_run_12.log	1	-14.049	17.512	0
CHEMBL397332_01_run_22.log	2	-11.764	17.779	9.08959
CHEMBL397332_01_run_24.log	2	-11.671	17.567	2.09406
CHEMBL397332_run_22.log	4	-9.805	17.479	3.03739
CHEMBL397332_run_5.log	5	-9.456	18.192	9.80804
CHEMBL397332_run_23.log	5	-8.975	23.217	2.8011
CHEMBL397332_run_16.log	6	-8.572	18.541	9.07778
CHEMBL397332_01_run_13.log	5	-7.768	17.762	7.52073
CHEMBL397332_01_run_21.log	6	-7.699	17.578	9.44033
CHEMBL397332_run_8.log	8	-7.624	17.716	9.22632
CHEMBL397332_run_12.log	9	-7.558	17.822	3.60779
CHEMBL397332_run_14.log	8	-7.548	18.629	8.21529
CHEMBL397332_01_run_2.log	8	-6.913	17.848	4.18058
CHEMBL397332_01_run_20.log	8	-6.723	17.48	9.45343
CHEMBL397332_01_run_20.log	9	-6.534	17.771	7.6593
CHEMBL397332_01_run_12.log	8	-6.512	17.436	11.5639
CHEMBL397332_run_20.log	11	-6.451	17.771	9.62256
CHEMBL397332_run_11.log	10	-6.434	17.433	3.13828
CHEMBL397332_run_8.log	12	-6.426	17.814	7.96024
CHEMBL397332_run_18.log	11	-6.371	17.588	7.43008
