	File		Model	T_Energy I_Energy RMSD
CHEMBL80837_run_11.log	1	41.216	65.12	0
CHEMBL80837_run_12.log	1	42.357	65.174	13.5119
CHEMBL80837_run_1.log	1	42.41	67.138	9.92172
CHEMBL80837_run_9.log	3	43.49	64.94	13.1629
CHEMBL80837_run_14.log	3	44.112	65.883	10.7953
CHEMBL80837_run_2.log	3	44.249	65.181	7.10826
CHEMBL80837_run_14.log	4	44.28	66.178	10.2776
CHEMBL80837_run_2.log	5	44.434	65.752	9.81029
CHEMBL80837_run_8.log	4	44.511	64.401	7.01635
CHEMBL80837_run_18.log	6	44.537	66.034	10.329
CHEMBL80837_run_14.log	7	44.885	64.865	7.32879
CHEMBL80837_run_9.log	10	45.232	67.476	9.99139
CHEMBL80837_run_24.log	9	45.434	65.818	9.49713
CHEMBL80837_run_5.log	10	45.462	65.81	4.7568
CHEMBL80837_run_3.log	10	45.593	65.545	9.80789
CHEMBL80837_run_6.log	12	45.912	65.37	5.96856
CHEMBL80837_run_18.log	10	45.926	67.585	9.37741
CHEMBL80837_run_23.log	11	45.927	65.721	4.49757
CHEMBL80837_run_1.log	10	46.084	66.483	9.20905
CHEMBL80837_run_2.log	10	46.084	65.984	6.54007
