	File		Model	T_Energy I_Energy RMSD
CHEMBL99203_run_2.log	1	-7.378	31.683	0
CHEMBL99203_run_13.log	1	-7.078	32.336	2.8357
CHEMBL99203_run_13.log	4	-1.14	30.691	10.8654
CHEMBL99203_run_1.log	4	-0.667	32.218	8.39701
CHEMBL99203_run_9.log	4	0.371	34.759	7.7483
CHEMBL99203_run_4.log	3	0.534	33.491	9.3161
CHEMBL99203_run_22.log	4	0.596	31.042	8.54533
CHEMBL99203_run_21.log	5	1.014	29.712	7.78735
CHEMBL99203_run_20.log	5	1.073	32.169	6.37311
CHEMBL99203_run_16.log	8	1.635	31.254	10.4612
CHEMBL99203_run_17.log	5	1.71	31.352	8.30634
CHEMBL99203_run_14.log	5	1.723	32.84	7.86622
CHEMBL99203_run_19.log	10	2.239	28.951	8.55607
CHEMBL99203_run_6.log	7	2.866	30.166	9.93685
CHEMBL99203_run_9.log	10	2.992	30.263	8.13332
CHEMBL99203_run_14.log	8	3.021	30.184	2.96811
CHEMBL99203_run_1.log	9	3.314	29.384	8.44242
CHEMBL99203_run_22.log	13	3.361	33.289	10.2167
CHEMBL99203_run_10.log	12	3.557	30.813	4.59599
CHEMBL99203_run_14.log	10	3.725	30.82	8.00425
