	File		Model	T_Energy I_Energy RMSD
CHEMBL373628_01_run_13.log	1	18.71	45.207	0
CHEMBL373628_01_run_12.log	1	19.529	48.063	8.07116
CHEMBL373628_01_run_7.log	2	20.224	45.772	2.13227
CHEMBL373628_01_run_5.log	4	21.37	52.88	9.37973
CHEMBL373628_01_run_6.log	1	21.767	45.713	9.39415
CHEMBL373628_01_run_8.log	1	22.339	44.992	9.48114
CHEMBL373628_01_run_17.log	4	22.822	50.378	3.2414
CHEMBL373628_01_run_14.log	5	23.021	50.064	8.37219
CHEMBL373628_01_run_2.log	5	23.559	44.972	9.51329
CHEMBL373628_01_run_12.log	4	23.659	48.762	9.09509
CHEMBL373628_01_run_11.log	2	23.791	44.836	9.54393
CHEMBL373628_01_run_11.log	3	24.032	46.444	7.91348
CHEMBL373628_01_run_7.log	6	24.172	48.719	2.88993
CHEMBL373628_01_run_6.log	9	24.198	46.6	9.42053
CHEMBL373628_01_run_18.log	5	24.212	45.135	7.79704
CHEMBL373628_01_run_15.log	7	24.243	51.609	9.5612
CHEMBL373628_01_run_14.log	7	24.338	51.171	3.88779
CHEMBL373628_01_run_5.log	9	24.356	48.747	3.46263
CHEMBL373628_01_run_14.log	8	24.637	45.882	8.7597
CHEMBL373628_01_run_18.log	8	24.701	45.536	6.75506
