	File		Model	T_Energy I_Energy RMSD
CHEMBL550658_run_22.log	1	21.841	45.897	0
CHEMBL550658_run_21.log	1	22.108	41.63	8.22346
CHEMBL550658_run_18.log	3	22.649	42.239	6.11401
CHEMBL550658_run_3.log	6	22.876	41.602	8.64451
CHEMBL550658_run_19.log	5	23.521	42.495	6.24809
CHEMBL550658_run_24.log	5	23.64	41.619	6.55381
CHEMBL550658_run_3.log	9	23.787	41.862	7.03603
CHEMBL550658_run_3.log	10	23.925	43.011	5.73234
CHEMBL550658_run_23.log	7	23.948	43.015	5.4075
CHEMBL550658_run_3.log	12	24.286	41.79	6.14719
CHEMBL550658_run_20.log	8	24.292	44.763	5.76131
CHEMBL550658_run_17.log	6	24.336	43.122	6.1187
CHEMBL550658_run_3.log	14	24.554	42.172	6.33949
CHEMBL550658_run_17.log	11	24.748	43.022	7.51827
CHEMBL550658_run_18.log	9	24.84	41.832	7.2533
CHEMBL550658_run_3.log	16	24.935	41.585	10.8244
CHEMBL550658_run_4.log	7	24.962	41.544	8.89037
CHEMBL550658_run_9.log	9	25.07	42.035	6.16859
CHEMBL550658_run_6.log	15	25.455	42.997	5.76725
CHEMBL550658_run_17.log	13	25.488	42.667	6.03273
