	File		Model	T_Energy I_Energy RMSD
CHEMBL375544_02_run_1.log	1	16.512	56.239	0
CHEMBL375544_02_run_22.log	1	18.026	55.342	8.82098
CHEMBL375544_02_run_13.log	1	18.484	56.351	9.79253
CHEMBL375544_02_run_2.log	3	18.919	57.219	2.0714
CHEMBL375544_02_run_11.log	4	20.106	57.216	2.01544
CHEMBL375544_02_run_13.log	3	21.127	54.397	8.90981
CHEMBL375544_02_run_6.log	3	21.243	66.106	9.89419
CHEMBL375544_02_run_21.log	5	22.474	58.177	2.05018
CHEMBL375544_02_run_20.log	4	23.442	56.37	4.05046
CHEMBL375544_02_run_6.log	6	23.909	56.368	3.82961
CHEMBL375544_02_run_9.log	6	24.438	51.743	6.46085
CHEMBL375544_02_run_22.log	5	24.498	56.352	2.6146
CHEMBL375544_02_run_4.log	6	24.959	51.438	8.10701
CHEMBL375544_02_run_1.log	8	25.057	50.272	4.85233
CHEMBL375544_02_run_5.log	5	25.267	52.342	6.85085
CHEMBL375544_02_run_24.log	7	25.535	64.447	4.86614
CHEMBL375544_02_run_17.log	8	25.57	55.86	3.13721
CHEMBL375544_02_run_19.log	4	25.662	51.637	5.56746
CHEMBL375544_02_run_15.log	10	25.738	55.89	3.74337
CHEMBL375544_02_run_6.log	8	25.837	52.994	4.2806
