	File		Model	T_Energy I_Energy RMSD
CHEMBL219849_03_run_17.log	1	12.012	52.47	0
CHEMBL219849_03_run_12.log	1	13.052	54.606	9.60286
CHEMBL219849_03_run_17.log	4	13.205	52.275	2.07573
CHEMBL219849_03_run_18.log	3	16.416	58.267	9.56988
CHEMBL219849_03_run_14.log	2	19.059	53.859	10.2187
CHEMBL219849_03_run_6.log	4	19.367	54.636	3.24726
CHEMBL219849_03_run_17.log	5	20.212	55.798	2.56535
CHEMBL219849_03_run_2.log	4	20.457	59.071	7.75016
CHEMBL219849_03_run_9.log	3	21.274	53.962	9.62303
CHEMBL219849_03_run_18.log	4	21.44	53.131	10.9897
CHEMBL219849_03_run_15.log	6	22.024	51.053	9.81904
CHEMBL219849_03_run_15.log	7	22.102	54.609	5.99825
CHEMBL219849_03_run_15.log	10	23.507	57.775	10.4068
CHEMBL219849_03_run_17.log	9	23.612	56.554	3.29145
CHEMBL219849_03_run_21.log	7	23.784	52.943	5.22799
CHEMBL219849_03_run_14.log	3	23.89	51.57	3.46333
CHEMBL219849_03_run_10.log	6	24.108	57.65	10.0116
CHEMBL219849_03_run_3.log	9	24.688	57.513	9.2507
CHEMBL219849_03_run_16.log	5	24.72	49.634	11.7004
CHEMBL219849_03_run_4.log	6	24.899	52.046	9.3529
